rank,company,growth,revenue_range,employee_growth,year_founded,industry,city,state,profile_url
1,AKOOL,37364%,Locked,Locked,Locked,Artificial Intelligence & Data,Palo Alto,CA,https://www.inc.com/profile/akool
2,ReloShare,27832%,Locked,Locked,Locked,Travel & Hospitality,Chicago,IL,https://www.inc.com/profile/ReloShare
3,Woof Pet,25621%,Locked,Locked,Locked,Consumer Products,Denver,CO,https://www.inc.com/profile/woof-pet
5,R2P Innovations,19560%,Locked,Locked,Locked,Manufacturing,Ladson,SC,https://www.inc.com/profile/r2p-innovations
6,EnergyAid,14155%,Locked,Locked,Locked,Construction,Santa Ana,CA,https://www.inc.com/profile/energyaid
9,Atomix Logistics,11687%,Locked,Locked,Locked,Logistics & Transportation,Milwaukee,WI,https://www.inc.com/profile/atomix-logistics
11,Polaris Power Services,11435%,Locked,Locked,Locked,Energy,Pomona,NJ,https://www.inc.com/profile/polaris-power-services
12,Mechanical One,10096%,Locked,Locked,Locked,Construction,Altamonte Springs,FL,https://www.inc.com/profile/mechanical-one
13,Reel Fathers Rights,9684%,Locked,Locked,Locked,Legal,Corona,CA,https://www.inc.com/profile/reel-fathers-rights
14,INTROL SOLUTIONS,9594%,Locked,Locked,Locked,Computer Hardware,Chicago,IL,https://www.inc.com/profile/introl
16,Maverick Power,9272%,Locked,Locked,Locked,Manufacturing,McKinney,TX,https://www.inc.com/profile/maverick-power
20,Sun Home Saunas,8821%,Locked,Locked,Locked,Consumer Services,San Diego,CA,https://www.inc.com/profile/sun-home-saunas
22,KashKick,8152%,Locked,Locked,Locked,Consumer Services,Tampa,FL,https://www.inc.com/profile/kashkick
23,Fello,8135%,Locked,Locked,Locked,Real Estate,Beachwood,OH,https://www.inc.com/profile/fello
26,Iberia Express,7415%,Locked,Locked,Locked,Logistics & Transportation,McHenry,IL,https://www.inc.com/profile/iberia-express
28,VideaHealth,7252%,Locked,Locked,Locked,Artificial Intelligence & Data,Boston,MA,https://www.inc.com/profile/videahealth
29,Action1,7188%,Locked,Locked,Locked,Software,Houston,TX,https://www.inc.com/profile/action1
30,Titanium Tours,7168%,Locked,Locked,Locked,Travel & Hospitality,Mendham,NJ,https://www.inc.com/profile/titanium-tours
31,Texting For Less,6875%,Locked,Locked,Locked,Telecommunications,Hackensack,NJ,https://www.inc.com/profile/texting-for-less
33,Atlas Experiences,6679%,Locked,Locked,Locked,Travel & Hospitality,Roswell,GA,https://www.inc.com/profile/atlas-experiences
34,Artemis ARC,6648%,Locked,Locked,Locked,Government Services,Alexandria,VA,https://www.inc.com/profile/artemis-arc
35,Carbliss,6559%,Locked,Locked,Locked,Food & Beverage,Plymouth,WI,https://www.inc.com/profile/carbliss
36,Moonrock,6457%,Locked,Locked,Locked,"Advertising, Marketing & PR",Oradell,NJ,https://www.inc.com/profile/moonrock
37,Tidalwave Holdings,6436%,Locked,Locked,Locked,Business Products & Services,Chattanooga,TN,https://www.inc.com/profile/tidalwave-holdings
38,Toom,6291%,Locked,Locked,Locked,Food & Beverage,Mendota Heights,MN,https://www.inc.com/profile/toom
39,ShipDudes,6243%,Locked,Locked,Locked,Logistics & Transportation,North Bergen,NJ,https://www.inc.com/profile/shipdudes
40,Freight Flex,6189%,Locked,Locked,Locked,Logistics & Transportation,Denton,TX,https://www.inc.com/profile/freight-flex
41,The Malin,6161%,Locked,Locked,Locked,Travel & Hospitality,New York,NY,https://www.inc.com/profile/the-malin
42,Hyqoo,6141%,Locked,Locked,Locked,Human Resources,Basking Ridge,NJ,https://www.inc.com/profile/hyqoo
43,The Picklr,6124%,Locked,Locked,Locked,Sports,Kaysville,UT,https://www.inc.com/profile/the-picklr
44,Consumer Rating,5927%,Locked,Locked,Locked,"Advertising, Marketing & PR",Allentown,PA,https://www.inc.com/profile/consumer-rating
45,CoreWeave,5896%,Locked,Locked,Locked,Artificial Intelligence & Data,Livingston,NJ,https://www.inc.com/profile/coreweave
46,Shipbots,5881%,Locked,Locked,Locked,Logistics & Transportation,Gardena,CA,https://www.inc.com/profile/shipbots
47,Luma Optics,5757%,Locked,Locked,Locked,Artificial Intelligence & Data,Sebastapol,CA,https://www.inc.com/profile/luma-optics
48,Viva Raw,5670%,Locked,Locked,Locked,Consumer Products,Charlotte,NC,https://www.inc.com/profile/Viva
49,Bogey Bros Golf Co.,5540%,Locked,Locked,Locked,Retail,Spring,TX,https://www.inc.com/profile/bogey-bros-golf
50,Farm's Elite,5398%,Locked,Locked,Locked,Food & Beverage,New York,NY,https://www.inc.com/profile/farms-elite
51,TransCargo Solutions,5159%,Locked,Locked,Locked,Logistics & Transportation,Miami,FL,https://www.inc.com/profile/transcargo-solutions
52,Crisp,5149%,Locked,Locked,Locked,Business Products & Services,Springdale,AR,https://www.inc.com/profile/crisp
53,Chaberton Energy,5124%,Locked,Locked,Locked,Energy,Rockville,MD,https://www.inc.com/profile/chaberton-energy
56,ParkMyFleet,4834%,Locked,Locked,Locked,Logistics & Transportation,Dover,DE,https://www.inc.com/profile/parkmyfleet
57,My Container Rental,4757%,Locked,Locked,Locked,Consumer Services,Fort Worth,TX,https://www.inc.com/profile/my-container-rental
59,ABCS Insights,4707%,Locked,Locked,Locked,"Advertising, Marketing & PR",Kissimmee,FL,https://www.inc.com/profile/abcs-insights
60,Rentvine,4682%,Locked,Locked,Locked,Real Estate,Estero,FL,https://www.inc.com/profile/rentvine
61,Simply Fuel,4680%,Locked,Locked,Locked,Food & Beverage,Leawood,KS,https://www.inc.com/profile/simply-fuel
62,Bold North Roofing and Contracting,4607%,Locked,Locked,Locked,Construction,Bloomington,MN,https://www.inc.com/profile/bold-north-roofing-and-contracting
64,Drake Tappe Construction,4549%,Locked,Locked,Locked,Construction,Austin,TX,https://www.inc.com/profile/drake-tappe-construction
65,Tomball Controls,4490%,Locked,Locked,Locked,Manufacturing,Von Ormy,TX,https://www.inc.com/profile/tomball-controls
66,Jumpspeak,4448%,Locked,Locked,Locked,Education,Miami,FL,https://www.inc.com/profile/jumpspeak
67,Canopii Solutions,4413%,Locked,Locked,Locked,IT Services,Leander,TX,https://www.inc.com/profile/canopii-solutions
68,ShopMy,4397%,Locked,Locked,Locked,"Advertising, Marketing & PR",Worcester,MA,https://www.inc.com/profile/shopmy
69,NutraSky,4362%,Locked,Locked,Locked,Manufacturing,Alpharetta,GA,https://www.inc.com/profile/nutrasky
70,Kalorama Group,4361%,Locked,Locked,Locked,Business Products & Services,Washington,DC,https://www.inc.com/profile/kalorama-group
71,CityLight Homes,4302%,Locked,Locked,Locked,Real Estate,Peabody,MA,https://www.inc.com/profile/citylight-homes
73,RxLogic,4274%,Locked,Locked,Locked,Business Products & Services,Nashville,TN,https://www.inc.com/profile/rxlogic
74,Lake City Equity,4144%,Locked,Locked,Locked,Real Estate,Mount Pleasant,SC,https://www.inc.com/profile/lake-city-equity
75,Firecrown,4122%,Locked,Locked,Locked,"Media, Arts & Entertainment",Chattanooga,TN,https://www.inc.com/profile/firecrown
76,Virtustant,4092%,Locked,Locked,Locked,Human Resources,St Petersburg,FL,https://www.inc.com/profile/virtustant
77,ServiceUp,4057%,Locked,Locked,Locked,Software,Los Gatos,CA,https://www.inc.com/profile/serviceup
78,Ascen,4016%,Locked,Locked,Locked,Human Resources,Boston,MA,https://www.inc.com/profile/ascen
80,PostPilot,3980%,Locked,Locked,Locked,"Advertising, Marketing & PR",New York,NY,https://www.inc.com/profile/postpilot
81,Revive Design and Renovation,3947%,Locked,Locked,Locked,Construction,Tampa,FL,https://www.inc.com/profile/revive-design-and-renovation
82,Drive Digital Advertising,3903%,Locked,Locked,Locked,"Advertising, Marketing & PR",St. Clair Shores,MI,https://www.inc.com/profile/drive-digital-advertising
83,Connsci,3820%,Locked,Locked,Locked,Government Services,Gaithersburg,MD,https://www.inc.com/profile/connsci
84,Turtlebox Audio,3818%,Locked,Locked,Locked,Consumer Products,Houston,TX,https://www.inc.com/profile/turtlebox-audio
85,Remofirst,3811%,Locked,Locked,Locked,Human Resources,San Francisco,CA,https://www.inc.com/profile/remofirst
86,The Flowery,3800%,Locked,Locked,Locked,Consumer Products,Miami,FL,https://www.inc.com/profile/the-flowery
88,Just Ice Tea,3750%,Locked,Locked,Locked,Food & Beverage,Bethesda,MD,https://www.inc.com/profile/just-ice-tea
89,KBH Industrial,3744%,Locked,Locked,Locked,Business Products & Services,Smyrna,GA,https://www.inc.com/profile/kbh-industrial
90,Too Lost,3677%,Locked,Locked,Locked,"Media, Arts & Entertainment",New York,NY,https://www.inc.com/profile/too-lost
91,Carefeed,3672%,Locked,Locked,Locked,Software,Cincinnati,OH,https://www.inc.com/profile/carefeed
92,Sanderson Firm,3668%,Locked,Locked,Locked,Legal,Bradenton,FL,https://www.inc.com/profile/sanderson-firm
93,BuildOps,3589%,Locked,Locked,Locked,Software,Los Angeles,CA,https://www.inc.com/profile/buildops
94,RUGG Construction,3563%,Locked,Locked,Locked,Construction,Dallas,TX,https://www.inc.com/profile/rugg-construction
95,Integer Technologies,3540%,Locked,Locked,Locked,Government Services,Columbia,SC,https://www.inc.com/profile/integer-technologies
96,CaryHealth,3494%,Locked,Locked,Locked,Artificial Intelligence & Data,Washington,DC,https://www.inc.com/profile/caryhealth
97,CCC Site Development,3442%,Locked,Locked,Locked,Construction,Orlando,FL,https://www.inc.com/profile/ccc-site-development
98,Black Dome,3438%,Locked,Locked,Locked,Real Estate,Round Rock,TX,https://www.inc.com/profile/black-dome
99,EvolveHR,3405%,Locked,Locked,Locked,Human Resources,Chicago,IL,https://www.inc.com/profile/evolvehr
100,Dreamliner Luxury Coaches,3357%,Locked,Locked,Locked,Logistics & Transportation,Whites Creek,TN,https://www.inc.com/profile/dreamliner-luxury-coaches
102,After.com,3334%,Locked,Locked,Locked,Consumer Services,Orem,UT,https://www.inc.com/profile/aftercom
103,Skylab Digital,3313%,Locked,Locked,Locked,"Advertising, Marketing & PR",Phoenix,AZ,https://www.inc.com/profile/skylab-digital
104,CazVid,3309%,Locked,Locked,Locked,Software,Tempe,AZ,https://www.inc.com/profile/cazvid
